Company,Position,Skill,Location
클레온,서버/백엔드 Kotlin Node.js 외 14개,"['Kotlin', 'Node.js', 'Python', 'Spring Boot', 'Spring Batch', 'PostgreSQL', 'MySQL', 'AWS CloudFront', 'FFmpeg', 'GStreamer', 'OpenCV', 'gRPC', 'WebRTC', 'Git', 'Docker', 'Apache Kafka']",신입 서울시 중구
아하랩스,서버/백엔드 머신러닝 Git 외 1개,"['Git', 'Python']",신입 경기도 성남시
에너닷,웹 풀스택 블록체인 웹 퍼블리싱 외 2개,"['web3.js', 'Solidity']",신입 서울시 서초구
쏘마,서버/백엔드 시스템/네트워크 시스템 소프트웨어 외 3개,"['Python', 'C++', 'Go']",신입 대한민국 경기도
이스트소프트,서버/백엔드,null,신입 대한민국 서울특별시
두다지,서버/백엔드 데이터 엔지니어링 시스템/네트워크 외 3개,"['Docker', 'Python', 'Kubernetes']",신입 서울 서초구
넛지헬스케어,웹 풀스택 인공지능(AI) 데이터 엔지니어링 외 13개,"['Docker', 'Django', 'Node.js', 'R', 'SQL', 'Vue.js', 'ReactJS', 'Python', 'MySQL', 'jQuery', 'JavaScript', 'HTML', 'Java']",신입 서울 강남구
넛지헬스케어,서버/백엔드 웹 풀스택 시스템/네트워크 외 7개,"['Java', 'Django', 'Git', 'Node.js', 'Python', 'Vue.js', 'MySQL']",신입 서울 강남구
넛지헬스케어,웹 풀스택 안드로이드 QA 외 1개,['Selenium'],신입 서울 강남구
넛지헬스케어,서버/백엔드 웹 풀스택 시스템/네트워크 외 7개,"['MySQL', 'Vue.js', 'Python', 'Node.js', 'Git', 'Django', 'Java']",신입 서울 강남구
히비스,프론트엔드 데브옵스 JavaScript 외 1개,"['JavaScript', 'jQuery']",신입 서울시 강동구
블루펫,프론트엔드 ReactJS Redux-Saga 외 1개,"['ReactJS', 'Redux-Saga', 'Next.js']",신입 서울 금천구
Xinics,서버/백엔드 프론트엔드 웹 풀스택 외 5개,"['HTML', 'CSS', 'JavaScript', 'ReactJS', 'PHP']",신입 서울특별시 구로구
데이터비,서버/백엔드 Python REST API 외 3개,"['Python', 'REST API', 'Redis', 'RabbitMQ', 'SQL']",0 ~ 5년 서울 마포구
데이터비,서버/백엔드 Node.js Git,"['Node.js', 'Git']",0 ~ 5년 서울 마포구
넥서스커뮤니티,서버/백엔드 C# Windows 외 3개,"['C#', 'Windows', 'MariaDB', 'Oracle', 'DevExpress']",0 ~ 5년 서울 영등포구
넥서스커뮤니티,서버/백엔드 임베디드 소프트웨어 Java 외 6개,"['Java', 'Unix', 'TCP/IP', 'Database', 'REST API', 'C++', 'C']",0 ~ 7년 서울 영등포구
스와치온,서버/백엔드 Node.js Ruby on Rails 외 3개,"['Node.js', 'Ruby on Rails', 'Python', 'Git', 'MySQL']",0 ~ 15년 서울 성동구
아주큐엠에스,서버/백엔드 프론트엔드 Java 외 2개,"['Java', 'JavaScript', 'MySQL']",0 ~ 3년 서울 서초구
바텍 네트웍스,서버/백엔드 웹 풀스택 시스템/네트워크 외 5개,"['Docker', 'Node.js', 'Kubernetes', 'MongoDB', 'AWS DynamoDB']",0 ~ 4년 경기도 화성시
페이타랩,프론트엔드 iOS 응용 프로그램 외 3개,"['iOS', 'Swift', 'Objective-C']",경력 무관 서울특별시 강남구
페이타랩,프론트엔드 시스템 소프트웨어 응용 프로그램 외 5개,"['REST API', 'C#', 'C++', 'WPF', '.NET']",경력 무관 서울특별시 강남구
페이타랩,프론트엔드 안드로이드 응용 프로그램 외 3개,"['Android', 'Kotlin', 'Java']",경력 무관 서울 강남구
로그프레소,서버/백엔드 인터넷 보안,null,경력 무관 서울특별시 마포구
데브툴즈,프론트엔드 블록체인 Vue.js 외 2개,"['Vue.js', 'Sass(SCSS)', 'TypeScript']",경력 무관 경기 안양시
데브툴즈,서버/백엔드 블록체인 Node.js 외 3개,"['Node.js', 'Go', 'NoSQL', 'Rust']",경력 무관 경기 안양시
팀스파르타,서버/백엔드 프론트엔드,null,경력 무관 대한민국 서울특별시
팀스파르타,서버/백엔드 프론트엔드 웹 풀스택,null,경력 무관 대한민국 서울특별시
에이치시티,서버/백엔드 프론트엔드 웹 풀스택 외 4개,"['Java', 'Spring', 'Apache', 'Oracle']",경력 무관 경기도 이천시
엔픽셀,서버/백엔드 웹 풀스택 게임 서버 외 9개,"['Rust', 'AWS ECS', 'Kotlin', 'Spring', 'flutter', 'Apache Kafka', 'Redis', 'NoSQL', 'Dart']",경력 무관 서울시 강남구
게임듀오,서버/백엔드 게임 서버 Node.js 외 5개,"['Node.js', 'MySQL', 'AWS ElasticBeanstalk', 'AWS CodePipeline', 'Redis', 'TypeScript']",경력 무관 경기 성남시
콘텐츠웨이브,프론트엔드 안드로이드 사물인터넷(IoT),['Java'],경력 무관 대한민국 서울특별시
마드라스체크,서버/백엔드 웹 풀스택 Java 외 4개,null,경력 무관 서울 영등포구
비팩토리,프론트엔드 JavaScript HTML5 외 10개,"['Java', 'JavaScript', 'jQuery', 'Node.js', 'Linux']",경력 무관 서울 성동구
위메이드,서버/백엔드 웹 풀스택 블록체인 외 2개,"['JavaScript', 'HTML5', 'CSS3', 'ReactJS', 'Apollo Client', 'Ubuntu', 'TypeScript', 'Babel', 'Webpack', 'Sass(SCSS)', 'GraphQL', 'Next.js']",경력 무관 경기도 성남시
위메이드,서버/백엔드 블록체인 C++ 외 4개,"['Solidity', 'Truffle']",경력 무관 경기도 성남시
트릿지,서버/백엔드 데이터 엔지니어링 Python 외 5개,"['C++', 'Java', 'Node.js', 'Go', 'C#']",경력 무관 서울특별시 서초구
페이타랩,서버/백엔드 웹 풀스택 데이터 엔지니어링 외 12개,"['Python', 'Django', 'Apache Hadoop', 'Apache Kafka', 'PostgreSQL', 'Node.js']",경력 무관 서울 강남구
