Company,Position,Skill,Location
휴멜로,[여름인턴] AI Research,"['Git', 'Django', 'Pytorch', 'Tensorflow', 'C / C++', 'Python', 'Docker', 'FastAPI']",서울.한국
해피블록,퀀트 개발자,"['Git', 'MySQL', 'Redis', 'Python', 'FastAPI']",서울.한국
아토리서치,[100억↑투자] 서비스 개발자,"['Linux', 'JavaScript', 'Python', 'Spring Framework']",서울.한국
리드넘버,백엔드 엔지니어,null,서울.한국
메디인테크,[전문연구요원 가능] 시스템 개발자 (신입),"['Github', 'Slack', 'Linux', 'Scikit-Learn', 'C / C++', 'Python', 'C', 'C++', 'Ubuntu', 'CUDA', 'NumPy', 'Notion']",서울.한국
메디인테크,"[전문연구요원 가능] C/C++, Python 로봇 제어 개발자 (신입)","['Github', 'Slack', 'Linux', 'Scikit-Learn', 'C / C++', 'Python', 'C', 'C++', 'Ubuntu', 'CUDA', 'NumPy', 'Notion']",서울.한국
메디인테크,[전문연구요원 가능] 인공지능 연구원 (신입),"['Github', 'Slack', 'Linux', 'Scikit-Learn', 'C / C++', 'Python', 'C', 'C++', 'Ubuntu', 'CUDA', 'NumPy', 'Notion']",서울.한국
메디인테크,[전문연구요원 가능] 영상처리 알고리즘 개발자 (신입),"['Github', 'Slack', 'Linux', 'Scikit-Learn', 'C / C++', 'Python', 'C', 'C++', 'Ubuntu', 'CUDA', 'NumPy', 'Notion']",서울.한국
큐브리드,DBMS 엔진 개발(전문연구요원),"['Git', 'Linux', 'C / C++', 'Java', 'SQL']",서울.한국
알지에이아이엔씨(RGA Inc.),AI Vision Engineer,"['Confluence', 'Git', 'JIRA', 'Pytorch', 'Tensorflow', 'C / C++', 'Python', 'CAD', '로봇', '임베디드 시스템', '인공 지능', 'RTOS', 'Embedded Linux', '로봇 프로그래밍']",서울.한국
로민,[전문연구요원] 컴퓨터비전 엔지니어,"['Github', 'Linux', 'Pytorch', 'Tensorflow', 'Python', 'Docker', 'PostgreSQL', 'RHEL', 'Ubuntu', 'OpenCV', 'FastAPI']",서울.한국
로민,[전문연구요원] 자연어처리 엔지니어,"['Github', 'Linux', 'Pytorch', 'Tensorflow', 'Python', 'Docker', 'PostgreSQL', 'RHEL', 'Ubuntu', 'OpenCV', 'FastAPI']",서울.한국
큐브리드,DBMS 엔진 개발,"['Git', 'Linux', 'C / C++', 'Java', 'SQL']",서울.한국
알지티,자율주행 F/W엔지니어,"['Git', 'Python', 'C++', 'ROS']",서울.한국
플랫포머스,웹 개발자,"['Github', 'Android', 'AngularJS', 'iOS', 'Linux', 'React', 'VueJS', 'ASP', 'ASP .NET', 'HTML', 'Java', 'JavaScript', 'SQL', 'JSP']",서울.한국
이모코그,소프트웨어 엔지니어,null,서울.한국
챔프스터디,PHP 프로그래머,"['Git', 'ExpressJS', 'GraphQL', 'JavaScript', 'Node.js', 'TypeScript', 'AWS', 'Jenkins', 'NoSQL', 'Docker', 'RDBMS', 'EC2', 'NodeJS', 'Next.js']",서울.한국
서울거래,[주니어] 개발자 (5년차미만),null,서울.한국
서울거래,[주니어] 프런트엔드 개발자 (5년차미만),null,서울.한국
아이티이지,[개발팀] 백엔드 담당자,null,서울.한국
엔츠,[전문연구요원 지원가능] B2B SaaS 웹 개발자,null,서울.한국
보이저엑스(VoyagerX),"[Vrew, vFlat] 백엔드 개발자",null,서울.한국
보이저엑스(VoyagerX),[Vrew] 데스크탑 앱 개발자,null,서울.한국
마인드허브,프론트엔드 개발자,"['Git', 'Android', 'Kotlin', 'TypeScript', 'AWS', 'NodeJS', 'React.js', 'Nest.js']",경기.한국
전능아이티,풀스택 어플리케이션 개발자,"['.NET', 'MySQL', 'C#', 'Node.js', 'MSSQL']",서울.한국
전능아이티,병원용 SW 개발자 [웹 프론트],"['.NET', 'MySQL', 'C#', 'Node.js', 'MSSQL']",서울.한국
전능아이티,병원 SW 산업기능요원(보충역) 개발자,"['.NET', 'MySQL', 'C#', 'Node.js', 'MSSQL']",서울.한국
퍼즐벤처스(PuzzlesVenturesCo.),"전기차 충전소 플랫폼 개발자 (백엔드, Node.js)",null,서울.한국
바텍,Back-end 개발,null,서울.한국
이글로벌시스템,백엔드/서버 개발자,"['Git', 'Linux', 'C / C++', 'Java', 'SQL', 'UNIX', 'Docker']",서울.한국
디지털메딕,Frontend / Backend 서버 개발자,"['Github', 'MySQL', 'React', 'Java', 'JavaScript', 'Spring Framework', 'JPA']",서울.한국
아이오트러스트,프론트엔드 개발,"['VueJS', 'Node.js']",서울.한국
팀스파르타,[100억↑투자] Software Engineer (산업기능요원 보충역),"['Flask', 'MongoDB', 'React', 'AWS', 'Docker', 'Flutter']",서울.한국
히츠,MLOps 개발자,"['Git', 'Python', 'AWS', 'Kubernetes']",서울.한국
에디트콜렉티브,컴퓨테이셔널 디자이너,null,서울.한국
에스아이에이,Research Scientist,null,대전.한국
이스트소프트(ESTsoft),[ESTsecurity] C/C++ 리눅스 소프트웨어 개발자,"['GitLab', 'Python', 'C', 'C++', 'Docker', 'SQLite']",서울.한국
인졀미,node.js 백엔드 개발자(신입가능),"['Git', 'Android', 'ExpressJS', 'iOS', 'TypeScript', 'Scrum', 'Agile', 'AWS', 'NodeJS', 'Android Studio', 'IntelliJ IDEA', 'Visual Studio Code', 'Flutter', 'Notion']",서울.한국
디렉셔널,퀀트 개발자 Quant Developer,"['Git', 'JIRA', 'Slack', 'Android', 'GraphQL', 'iOS', 'Linux', 'MySQL', 'React', 'Redis', 'HTML', 'JavaScript', 'Kotlin', 'Python', 'SQL', 'TypeScript', 'AWS', 'Docker', 'JPA', 'Spring Boot', 'Flutter', 'Notion', 'Restful API']",서울.한국
에이모(AIMMO),백엔드개발자,null,경기.한국
긴트,백엔드 개발자,"['하드웨어', '임베디드 시스템', '하드웨어 설계', '회로 설계', '하드웨어 개발', 'ORCAD', 'PADS']",서울.한국
이마고웍스,[100억↑투자] 클라우드 데이터 엔지니어,null,서울.한국
